market,deployment_size,price_per_kw_month,estimated_monthly_cost,lease_terms,availability,tier
Northern Virginia,Single Rack,331.2,1656.0,Month-to-month,Limited,Retail
Northern Virginia,Quarter Cab,294.4,736.0,Month-to-month,Limited,Retail
Northern Virginia,Half Cab,257.6,1288.0,Month-to-month,Limited,Retail
Northern Virginia,Full Cabinet,239.2,2392.0,Month-to-month,Limited,Retail
Northern Virginia,2 Cabinets,220.8,4416.0,Month-to-month,Limited,Retail
Northern Virginia,5 Cabinets,202.4,10120.0,Month-to-month,Limited,Retail
Northern Virginia,10 kW,193.2,1932.0,12-36 months,Limited,Retail
Northern Virginia,25 kW,184.0,4600.0,12-36 months,Limited,Retail
Northern Virginia,50 kW,174.8,8740.0,12-36 months,Limited,Retail
Northern Virginia,100 kW,169.28,16928.0,12-36 months,Limited,Retail
Northern Virginia,250 kW,161.92,40480.0,12-36 months,Limited,Retail
Northern Virginia,500 kW,156.4,78200.0,12-36 months,Limited,Retail
Northern Virginia,1 MW,147.2,147200.0,36-120 months,Limited,Wholesale
Northern Virginia,2 MW,138.0,276000.0,36-120 months,Limited,Wholesale
Northern Virginia,5 MW,128.8,644000.0,36-120 months,Limited,Wholesale
Northern Virginia,10+ MW,119.6,1196000.0,36-120 months,Limited,Wholesale
Dallas,Single Rack,261.0,1305.0,Month-to-month,Moderate,Retail
Dallas,Quarter Cab,232.0,580.0,Month-to-month,Moderate,Retail
Dallas,Half Cab,203.0,1015.0,Month-to-month,Moderate,Retail
Dallas,Full Cabinet,188.5,1885.0,Month-to-month,Moderate,Retail
Dallas,2 Cabinets,174.0,3480.0,Month-to-month,Moderate,Retail
Dallas,5 Cabinets,159.5,7975.0,Month-to-month,Moderate,Retail
Dallas,10 kW,152.25,1522.5,12-36 months,Moderate,Retail
Dallas,25 kW,145.0,3625.0,12-36 months,Moderate,Retail
Dallas,50 kW,137.75,6887.5,12-36 months,Moderate,Retail
Dallas,100 kW,133.4,13340.0,12-36 months,Moderate,Retail
Dallas,250 kW,127.6,31900.0,12-36 months,Moderate,Retail
Dallas,500 kW,123.25,61625.0,12-36 months,Moderate,Retail
Dallas,1 MW,116.0,116000.0,36-120 months,Moderate,Wholesale
Dallas,2 MW,108.75,217500.0,36-120 months,Moderate,Wholesale
Dallas,5 MW,101.5,507500.0,36-120 months,Moderate,Wholesale
Dallas,10+ MW,94.25,942500.0,36-120 months,Moderate,Wholesale
Phoenix,Single Rack,279.0,1395.0,Month-to-month,Moderate,Retail
Phoenix,Quarter Cab,248.0,620.0,Month-to-month,Moderate,Retail
Phoenix,Half Cab,217.0,1085.0,Month-to-month,Moderate,Retail
Phoenix,Full Cabinet,201.5,2015.0,Month-to-month,Moderate,Retail
Phoenix,2 Cabinets,186.0,3720.0,Month-to-month,Moderate,Retail
Phoenix,5 Cabinets,170.5,8525.0,Month-to-month,Moderate,Retail
Phoenix,10 kW,162.75,1627.5,12-36 months,Moderate,Retail
Phoenix,25 kW,155.0,3875.0,12-36 months,Moderate,Retail
Phoenix,50 kW,147.25,7362.5,12-36 months,Moderate,Retail
Phoenix,100 kW,142.6,14260.0,12-36 months,Moderate,Retail
Phoenix,250 kW,136.4,34100.0,12-36 months,Moderate,Retail
Phoenix,500 kW,131.75,65875.0,12-36 months,Moderate,Retail
Phoenix,1 MW,124.0,124000.0,36-120 months,Moderate,Wholesale
Phoenix,2 MW,116.25,232500.0,36-120 months,Moderate,Wholesale
Phoenix,5 MW,108.5,542500.0,36-120 months,Moderate,Wholesale
Phoenix,10+ MW,100.75,1007500.0,36-120 months,Moderate,Wholesale
Chicago,Single Rack,297.0,1485.0,Month-to-month,Moderate,Retail
Chicago,Quarter Cab,264.0,660.0,Month-to-month,Moderate,Retail
Chicago,Half Cab,231.0,1155.0,Month-to-month,Moderate,Retail
Chicago,Full Cabinet,214.5,2145.0,Month-to-month,Moderate,Retail
Chicago,2 Cabinets,198.0,3960.0,Month-to-month,Moderate,Retail
Chicago,5 Cabinets,181.5,9075.0,Month-to-month,Moderate,Retail
Chicago,10 kW,173.25,1732.5,12-36 months,Moderate,Retail
Chicago,25 kW,165.0,4125.0,12-36 months,Moderate,Retail
Chicago,50 kW,156.75,7837.5,12-36 months,Moderate,Retail
Chicago,100 kW,151.8,15180.0,12-36 months,Moderate,Retail
Chicago,250 kW,145.2,36300.0,12-36 months,Moderate,Retail
Chicago,500 kW,140.25,70125.0,12-36 months,Moderate,Retail
Chicago,1 MW,132.0,132000.0,36-120 months,Moderate,Wholesale
Chicago,2 MW,123.75,247500.0,36-120 months,Moderate,Wholesale
