investor,type,aum_b,dc_portfolio_value_b,key_holdings,deployment_2024_2025_b,target_markets,investment_thesis,notes
Blackstone,Private Equity,1050,85,"QTS (2021 $10B), AirTrunk (2024 $24B)",35,"US, Australia, Asia-Pacific",Hyperscale + AI infrastructure,PPL Electric $25B partnership
Brookfield,Infrastructure Fund,925,45,"Scala Data Centers (Brazil), Intel campus",20,"Americas, Europe",Power + data center convergence,Bloom Energy $5B JV; NVIDIA $10B partnership
BlackRock (GIP/MGX),Sovereign/Infra,10500,50,Aligned Data Centers ($40B),45,US primary markets,AI-ready wholesale hyperscale,Largest DC acquisition 2025
DigitalBridge,Digital Infra REIT,75,35,"Vantage Data Centers, Switch",15,Global tier-1 cities,Digital infrastructure ecosystem,Vantage $15B Wisconsin campus
KKR,Private Equity,550,28,"CyrusOne (co-invest), Global Switch",12,"Europe, Asia",Premium colocation + interconnection,Singtel partnership
EQT Infrastructure,Infrastructure Fund,125,18,Equinix minority stake,8,"Europe, selective US",Interconnection hubs,Focus on carrier-neutral facilities
Mubadala (UAE),Sovereign Wealth,302,15,Khazna Data Centers (UAE),10,"Middle East, US partnerships",Regional data sovereignty + AI,Co-investor in Aligned deal
Blue Owl Capital,Alternative Asset Mgr,235,27,Meta JV ($27B),30,US hyperscale sites,Hyperscaler build-to-suit partnerships,Meta infrastructure joint venture
Stonepeak,Infrastructure Fund,70,12,"Cologix, Cyxtera",6,North America edge,Edge + colocation,Focus on tier-2/3 markets
GIC (Singapore),Sovereign Wealth,770,22,"ST Telemedia, various co-invests",12,"Asia-Pacific, US",Long-term infrastructure holdings,Co-investor in multiple platforms
CDPQ (Canada),Pension Fund,340,8,T5 Data Centers,5,North America,Sustainable infrastructure,ESG-focused investments
Macquarie Infrastructure,Infrastructure Fund,650,18,"AirTrunk (partial), various",10,Asia-Pacific primary,Digital infrastructure ecosystems,Active in APAC hyperscale
IPI Partners (Iron Mountain),Strategic/PE,45,10,Iron Mountain Data Centers,5,US tier-2 cities,Edge + colocation conversion,Warehouse-to-DC conversion specialist
