utility_id,utility_name,utility_type,headquarters,parent_company,ticker,service_territory,primary_dc_markets,total_customers_millions,generation_capacity_gw,peak_demand_gw,renewable_energy_pct,nuclear_pct,natural_gas_pct,coal_pct,commercial_rate_kwh,industrial_rate_kwh,dc_specific_tariff,dc_rate_kwh,demand_charge_kw,time_of_use_available,interruptible_rate_available,green_tariff_available,renewable_ppa_friendly,new_connection_queue_months,max_single_connection_mw,typical_connection_timeline_months,substation_cost_per_mw_millions,dedicated_dc_team,dc_load_served_mw,dc_load_pct_of_total,planned_grid_investment_billions,grid_reliability_saidi_minutes,grid_reliability_saifi,contact_dc_team,website,notes,power_cost_index,connection_speed_index,total_cost_100mw_annual_millions
dominion_va,Dominion Energy Virginia,Investor-Owned Utility (IOU),"Richmond, VA",Dominion Energy,D,"Virginia, North Carolina","Northern Virginia (Ashburn, Sterling, Leesburg)",2.7,30.2,21.5,28,31,35,6,0.078,0.065,Schedule GS-3 (Large General Service),0.072,8.5,True,True,True,True,36,200,24,0.85,True,4200,19.5,12.5,95,0.92,datacenter@dominionenergy.com,https://www.dominionenergy.com,Largest DC load in US. 4.2 GW serving data centers. $12.5B grid investment planned. 36-month connection queue due to demand.,85.0,133.3,63.07
oncor_tx,Oncor Electric Delivery,Transmission & Distribution Utility,"Dallas, TX",Sempra Energy,SRE,"North, Central, West Texas","Dallas-Fort Worth (Richardson, Garland, Irving)",4.0,0.0,25.0,0,0,0,0,0.065,0.055,Large Industrial (ERCOT wholesale + delivery),0.058,5.2,True,True,True,True,18,500,12,0.65,True,1800,7.2,8.5,78,0.85,largeprojects@oncor.com,https://www.oncor.com,T&D only (ERCOT deregulated market). Customers choose retail electric provider. Fast connections. $8.5B grid investment.,68.4,266.7,50.81
aps_az,Arizona Public Service (APS),Investor-Owned Utility (IOU),"Phoenix, AZ",Pinnacle West Capital,PNW,Central and Northern Arizona,"Phoenix (Mesa, Goodyear, Chandler)",1.4,11.2,8.1,18,28,42,12,0.072,0.058,E-36 (Extra Large General Service),0.065,6.8,True,True,True,True,12,300,10,0.58,True,1200,14.8,5.2,68,0.78,economicdev@aps.com,https://www.aps.com,DC-friendly utility. Fast connections (12 months). Palo Verde nuclear provides baseload. Growing DC market.,76.7,400.0,56.94
srp_az,Salt River Project (SRP),Public Power Utility,"Tempe, AZ",Salt River Project,,Greater Phoenix Metro Area,"Phoenix (Mesa, Gilbert, Tempe)",1.1,8.5,7.8,22,18,48,12,0.068,0.055,E-65 (Large General Service TOU),0.062,6.2,True,True,True,True,14,250,11,0.55,True,950,12.2,4.8,62,0.72,businessdevelopment@srpnet.com,https://www.srpnet.com,Public utility (no shareholders). Competitive rates. Fast permitting. Alternative to APS in Phoenix.,73.2,342.9,54.31
pge_ca,Pacific Gas & Electric (PG&E),Investor-Owned Utility (IOU),"Oakland, CA",PG&E Corporation,PCG,Northern and Central California,"Silicon Valley (San Jose, Santa Clara)",5.5,28.0,22.5,52,9,32,0,0.185,0.145,E-20 (Large Power),0.165,18.5,True,True,True,True,48,100,36,1.85,True,1100,4.9,15.0,285,1.45,largecustomers@pge.com,https://www.pge.com,Most expensive US power. 48-month queue. PSPS (wildfire shutoffs) risk. Grid reliability challenges.,194.7,100.0,144.54
coned_ny,Consolidated Edison (ConEd),Investor-Owned Utility (IOU),"New York, NY",Consolidated Edison Inc.,ED,"New York City, Westchester","New York Metro (Manhattan, Secaucus NJ adjacent)",3.5,12.5,13.2,28,25,42,0,0.185,0.155,SC-9 (Large General High Tension),0.175,22.5,True,True,True,False,36,50,30,2.5,True,650,4.9,8.2,42,0.35,econdev@coned.com,https://www.coned.com,Highest reliability in US (SAIDI 42 min). Very expensive. Strict connection limits. Financial district priority.,206.5,133.3,153.3
pseg_nj,Public Service Electric & Gas (PSE&G),Investor-Owned Utility (IOU),"Newark, NJ",PSEG,PEG,New Jersey,"Northern New Jersey (Secaucus, Weehawken, Newark)",2.3,14.0,11.5,15,42,38,0,0.142,0.118,LPL (Large Power and Lighting),0.125,14.8,True,True,True,True,30,80,24,1.65,True,520,4.5,6.5,58,0.52,economicdevelopment@pseg.com,https://www.pseg.com,Primary utility for NYC-adjacent DCs. Nuclear baseload. More affordable than ConEd. Good reliability.,147.5,160.0,109.5
comed_il,Commonwealth Edison (ComEd),Investor-Owned Utility (IOU),"Chicago, IL",Exelon Corporation,EXC,Northern Illinois,"Chicago (Franklin Park, Aurora, Elk Grove)",4.0,24.0,18.5,12,58,25,5,0.095,0.078,Rate 6L (Large Load Delivery),0.082,8.2,True,True,True,True,24,150,18,0.95,True,980,5.3,7.8,72,0.68,businesscenter@comed.com,https://www.comed.com,Nuclear-heavy (58%). Moderate rates. Good reliability. Supporting Illinois DC expansion.,96.8,200.0,71.83
nv_energy,NV Energy,Investor-Owned Utility (IOU),"Las Vegas, NV",Berkshire Hathaway Energy,BRK.B,Nevada,"Las Vegas, Reno",1.4,8.2,6.8,35,0,55,8,0.068,0.055,LGS-2 (Large General Service),0.058,5.8,True,True,True,True,12,400,10,0.52,True,1650,24.3,6.2,55,0.58,businessdevelopment@nvenergy.com,https://www.nvenergy.com,Switch anchor customer. 100% renewable option. Berkshire Hathaway owned. Fast connections. 24% of load is DCs.,68.4,400.0,50.81
pge_or,Portland General Electric (PGE),Investor-Owned Utility (IOU),"Portland, OR",Portland General Electric,POR,Northwestern Oregon,Portland/Hillsboro,0.9,4.5,4.1,45,0,25,8,0.078,0.058,Schedule 89 (Large Nonresidential),0.055,4.8,True,True,True,True,15,200,12,0.62,True,720,17.6,3.8,82,0.88,largecustomers@pgn.com,https://www.portlandgeneral.com,Hillsboro DC hub. BPA hydro access for cheap power. 45% renewable. Growing hyperscaler market.,64.9,320.0,48.18
