market_id,market_name,country,region,tier,market_maturity,total_inventory_mw,occupied_mw,available_mw,vacancy_rate_pct,under_construction_mw,planned_mw,avg_asking_rent_kw_mo,effective_rent_kw_mo,yoy_rent_change_pct,avg_power_cost_kwh,utility_provider,power_availability,power_queue_months,yoy_demand_growth_pct,primary_demand_drivers,major_tenants,major_operators,fiber_providers,internet_exchanges,construction_cost_sqft,land_cost_acre,zoning_status,permit_timeline_months,tax_incentives,renewable_energy_pct,key_submarkets,notes,total_pipeline_mw,pipeline_vs_inventory_pct,effective_discount_pct
nova,Northern Virginia,USA,North America,1,Mature,5600,5560,40,0.72,2400,3800,184,175,12,0.078,Dominion Energy,Constrained,36,38,"Cloud, AI, Federal Government","AWS, Microsoft, Google, Meta, Oracle","Equinix, Digital Realty, QTS, Vantage, STACK, CoreSite","Zayo, Lumen, Crown Castle, Cogent","Equinix IX, DE-CIX",450,2500000,Restricted,18,Limited,65,"Ashburn, Sterling, Leesburg, Manassas",World's largest data center market. 70%+ of US internet traffic. Loudoun County ended by-right zoning March 2025.,6200,110.7,4.9
dallas,Dallas-Fort Worth,USA,North America,1,Mature,1500,1380,120,8.0,850,1200,125,118,8,0.065,Oncor (ERCOT),Good,18,32,"Cloud, Enterprise, AI","Oracle, AWS, Meta, Google, Microsoft","Digital Realty, QTS, CyrusOne, STACK, Aligned, DataBank","Zayo, Lumen, Crown Castle, Spectrum Enterprise","DE-CIX Dallas, Equinix IX",380,850000,Permissive,8,"Chapter 313 (expired), local abatements",45,"Richardson, Garland, Irving, Plano, Carrollton",2nd largest US market. ERCOT independent grid. Pro-business regulatory environment. Texas law preempts local DC restrictions.,2050,136.7,5.6
silicon_valley,Silicon Valley,USA,North America,1,Mature,1200,1080,120,10.0,180,280,250,235,15,0.185,PG&E,Severely Constrained,48,42,"Tech HQs, AI/ML, Cloud","Google, Meta, Apple, NVIDIA, Tesla","Equinix, Digital Realty, CoreSite","Zayo, Lumen, AT&T, Comcast","Equinix IX, CoreSite Any2",520,8200000,Restrictive,24,None,85,"San Jose, Santa Clara, Sunnyvale, Fremont",Most expensive US market. PG&E constraints severe. Expansion limited to brownfield. CEQA adds 12-18 months.,460,38.3,6.0
phoenix,Phoenix,USA,North America,1,Growth,1400,1050,350,25.0,1300,2500,115,108,5,0.072,"APS, SRP",Good,12,45,"AI, Cloud, Hyperscale","Microsoft, AWS, Google, Meta, Oracle","STACK, Digital Realty, CyrusOne, Vantage, Aligned","Zayo, Lumen, Cox Business",Phoenix IX,350,420000,Very Permissive,4,"GPLET, Foreign Trade Zone",55,"Mesa, Goodyear, Chandler, Tempe",Fastest permitting in US. Fastest growing DC market. 1.3 GW under construction. APS/SRP utility-friendly.,3800,271.4,6.1
chicago,Chicago,USA,North America,1,Mature,1100,968,132,12.0,420,650,145,138,6,0.095,ComEd,Good,24,28,"Finance, Enterprise, Cloud","CME Group, AWS, Google, Microsoft","Equinix, Digital Realty, QTS, CyrusOne, STACK","Zayo, Lumen, Crown Castle, Cogent","CHI-IX, Equinix IX",410,1200000,Moderate,12,"TIF districts, Enterprise Zones",48,"Franklin Park, Aurora, Elk Grove Village, Downtown",3rd largest US market. Financial hub. CME Group anchor. Related Companies raising $8B for DCs. Illinois farmland being acquired.,1070,97.3,4.8
nyc,New York/New Jersey,USA,North America,1,Mature,950,855,95,10.0,120,180,285,268,10,0.185,"ConEd, PSE&G",Constrained,36,18,"Finance, Media, Enterprise","NYSE, JPMorgan, Goldman Sachs, Bloomberg, AWS","Equinix, Digital Realty, CoreSite, CyrusOne","Zayo, Lumen, Crown Castle, Lightpath","NYIIX, DE-CIX NY, Equinix IX",580,12500000,Restrictive,30,"ICAP, limited",35,"Secaucus, Weehawken, Manhattan, Newark",Financial hub premium. ConEd/PSE&G constraints. Most expensive construction. 111 8th Ave iconic carrier hotel.,300,31.6,6.0
portland,Portland/Hillsboro,USA,North America,2,Growth,820,574,246,30.0,380,620,95,88,2,0.048,"PGE, BPA",Excellent,15,52,"Hyperscale, AI (cheap power)","AWS, Google, Meta, Apple","Digital Realty, Vantage, STACK, EdgeConneX","Zayo, Lumen, Wave Broadband",NWAX,360,580000,Permissive,10,"Enterprise Zones, BETC",95,"Hillsboro, Prineville, The Dalles",Cheapest power in US (BPA hydro $0.048/kWh). Hyperscaler magnet. 30% vacancy = buyer's market. Google The Dalles mega campus.,1000,122.0,7.4
atlanta,Atlanta,USA,North America,2,Growth,680,564,116,17.0,520,850,110,102,7,0.082,Georgia Power,Good,18,35,"Cloud, Enterprise, Media","AWS, Microsoft, Google, NCR, Home Depot","STACK, Digital Realty, QTS, DataBank, Switch","Zayo, Lumen, Southern Telecom",DIX (Digital Realty IX),375,720000,Permissive,9,"Opportunity Zones, QALICB",42,"Downtown, Midtown, Douglas County, Lithia Springs",Southeast anchor. Georgia Power cooperative. 1.1 GW under construction. STACK 920 MW campus.,1370,201.5,7.3
vegas,Las Vegas/Reno,USA,North America,2,Growth,1800,1440,360,20.0,680,3500,105,98,4,0.068,NV Energy,Good,12,48,"Hyperscale, AI, Gaming","Switch (anchor), Apple, Google, eBay","Switch, AWS, Google","Zayo, Lumen, Cox",Switch IX,340,350000,Very Permissive,6,"Abatements, opportunity zones",100,"Las Vegas, Henderson, Reno, Tahoe Reno Industrial",Switch anchor customer. 100% renewable available. 3.5 GW planned. Apple $1B Reno campus.,4180,232.2,6.7
london,London/Slough,UK,Europe,1,Mature,1100,990,110,10.0,280,420,320,298,8,0.245,"National Grid, SSE",Constrained,42,22,"Finance, Cloud, Enterprise","AWS, Microsoft, Google, HSBC, Barclays","Equinix, Digital Realty, Global Switch, CyrusOne, NTT","Zayo, Colt, euNetworks, BT","LINX, LONAP",650,18000000,Restrictive,24,Limited,100,"Slough, Docklands, Hayes, Crawley",FLAP-D market anchor. National Grid constraints. Green belt restrictions. Brexit impact minimal.,700,63.6,6.9
