project_name,developer,location,investment_b,capacity_mw,sqft_millions,construction_start,estimated_completion,status,anchor_tenant,power_source,notes
Stargate Abilene,Oracle/OpenAI/SoftBank,"Abilene, Texas",100.0,4500,15.0,2025-Q1,2030+,Announced,OpenAI,Oncor + on-site generation,7 GW phase 1; 250 GW by 2033 goal
Vantage Frontier Texas,Vantage Data Centers,Dallas/Fort Worth,25.0,1400,4.2,2024-Q3,2027,Under Construction,Multiple hyperscalers,Oncor (ERCOT),1.4 GW capacity; multi-phase
Vantage Lighthouse Wisconsin,Vantage Data Centers,"Port Washington, WI",15.0,902,3.5,2024-Q4,2028,Under Construction,Oracle,We Energies (dedicated DC rate),902 MW dedicated rate; Oracle anchor
Microsoft Wisconsin AI Factory,Microsoft,"Mount Pleasant, WI",3.3,300,1.2,2024-Q2,2026,Under Construction,Microsoft (owned),We Energies,1.2M sqft AI training facility
Meta Monroe LA,Meta Platforms,"Monroe, Louisiana",10.0,800,3.0,2024-Q1,2027,Under Construction,Meta (owned),Entergy Louisiana,$10B AI infrastructure campus
Aligned Virginia Expansion,Aligned Data Centers,"Ashburn, VA",8.0,600,2.5,2025-Q1,2027,Planned,Multiple,Dominion Energy,Part of $40B BlackRock acquisition
Google Lincoln NE,Google,"Lincoln, Nebraska",0.6,120,0.8,2024-Q3,2026,Under Construction,Google (owned),Lincoln Electric System,$600M expansion; renewable-focused
Apple Waukee IA Expansion,Apple,"Waukee, Iowa",1.5,200,1.9,2024-Q2,2026,Under Construction,Apple (owned),MidAmerican Energy,1.9M sqft expansion; 100% renewable
xAI Memphis Colossus 2,xAI (Musk),"Memphis, Tennessee",8.0,1000,1.5,2025-Q2,2026,Planned,xAI (owned),MLGW + generators,Phase 2 expansion; 555K GPUs existing
AWS Pennsylvania,Amazon Web Services,Pennsylvania,20.0,1600,5.0,2024-Q4,2028,Announced,AWS (owned),PPL Electric + Talen nuclear,$20B infrastructure partnership
