operator_id,operator_name,operator_type,ticker,headquarters,headquarters_country,market_cap_billions,revenue_billions_2025,founded_year,total_facilities,total_sqft_millions,total_capacity_mw,countries_presence,metros_presence,business_model,specialization,hyperscaler_anchor,enterprise_focus,financial_focus,dgx_ready_certified,liquid_cooling,avg_pue,renewable_pct,stock_price_usd,forward_affo_multiple,dividend_yield_pct,website,investor_relations
eqix,Equinix,Public REIT,EQIX,"Redwood City, CA",USA,85.3,8.52,1998,270,32.0,3200,33,70,Retail Colocation + Interconnection,Network-dense interconnection hubs,False,True,True,True,True,1.47,96,816.0,21.0,2.3,https://www.equinix.com,https://investor.equinix.com
dlr,Digital Realty Trust,Public REIT,DLR,"Austin, TX",USA,52.1,5.4,2004,300,42.0,4100,26,50,Hyperscale + Wholesale Colocation,Large-scale hyperscaler campuses,True,True,False,False,True,1.32,78,167.44,22.2,3.1,https://www.digitalrealty.com,https://investor.digitalrealty.com
ntt,NTT Global Data Centers,Private (NTT subsidiary),,Tokyo,Japan,12.0,3.25,2019,160,18.0,2000,20,45,Wholesale + Managed Services,Global Tier 1 network backbone,True,True,True,False,True,1.38,72,,,,https://www.ntt.com/data-centers,
qts,QTS Realty Trust (Blackstone),Private (PE-owned),,"Overland Park, KS",USA,10.0,1.8,2003,75,7.2,3000,2,18,Hyperscale + Software Platform,"Federal government, hyperscale",True,True,False,False,True,1.29,72,,,,https://www.qtsdatacenters.com,
cyrus,CyrusOne (KKR/Blackstone),Private (PE-owned),,"Dallas, TX",USA,15.0,1.5,2001,117,7.5,1200,8,25,Hybrid Retail + Hyperscale,Enterprise + government,False,True,True,False,False,1.38,65,,,,https://www.cyrusone.com,
coresite,CoreSite (American Tower),Private (acquired),,"Denver, CO",USA,10.1,0.82,2001,30,4.5,520,1,11,Retail Colocation + Cloud Onramps,"Network-dense, cloud-native",False,True,True,True,True,1.33,81,,,,https://www.coresite.com,
irm,Iron Mountain Data Centers,Public REIT (division),IRM,"Boston, MA",USA,1.5,0.45,2017,15,1.2,180,6,8,Wholesale + Enterprise,"Secure storage, unique sites",False,True,False,False,False,1.41,55,105.0,18.5,2.5,https://www.ironmountain.com/data-centers,https://investors.ironmountain.com
stack,STACK Infrastructure,Private (IPI Partners),,"Denver, CO",USA,8.5,1.2,2015,22,5.8,3400,2,9,Hyperscale Campuses,Large builds for hyperscalers,True,False,False,False,True,1.26,88,,,,https://www.stackinfra.com,
vantage,Vantage Data Centers,Private (DigitalBridge),,"Denver, CO",USA,12.0,1.5,2010,35,8.5,2800,6,18,Hyperscale Build-to-Suit,Fast deployment (6 months),True,False,False,True,True,1.28,85,,,,https://www.vantage-dc.com,
switch,Switch (DigitalBridge),Private (acquired),,"Las Vegas, NV",USA,11.0,0.85,2000,8,5.2,1800,1,4,Mega Campus,"100% renewable, massive scale",True,True,False,True,True,1.18,100,,,,https://www.switch.com,
cologix,Cologix,Private (Stonepeak),,"Denver, CO",USA,5.5,0.72,2010,42,3.2,650,2,11,Network-Neutral Colocation,"Hyperscale edge, interconnection",False,True,False,True,True,1.35,78,,,,https://www.cologix.com,
