entity_name,ticker,segment,role_supply_or_demand,headquarters_country,ownership_type,reit_structure,business_model,data_center_regions,notes_marketplace_relevance,
Equinix,EQIX,Data center REIT,supply,United States,public,yes,"Global colocation and interconnection platform; builds or acquires powered data centers and long-term ground leases, then leases space and power (retail, wholesale, and hyperscale xScale) to enterprises, networks, clouds, and AI workloads.[web:28][web:40][web:46]",US primary and secondary metros plus global metros,"Core supply-side landlord for AI-ready colocation and interconnection; marketplace could surface available MW and latency characteristics in constrained hubs (e.g., Northern Virginia, Silicon Valley, FLAP) and help optimize pricing and tenant mix where demand exceeds power availability.[web:28][web:43]",
Digital Realty,DLR,Data center REIT,supply,United States,public,yes,"Global wholesale and hyperscale data center developer and operator; develops powered campuses and leases multi-MW blocks to hyperscalers, clouds, and enterprises under long-term contracts.[web:28][web:40][web:44][web:46]",US and global hyperscale and interconnection markets,"Major wholesale and hyperscale landlord with a large powered land bank; marketplace could match campus-scale AI and cloud tenants to specific sites, expose scarcity pricing where power is tight, and improve forward visibility on demand for new builds.[web:28][web:43][web:46]",
Iron Mountain Data Centers,IRM,Data center REIT segment,supply,United States,public,yes,"REIT with a fast-growing data center arm; develops and operates colocation and wholesale facilities, leasing MW-scale capacity alongside legacy storage business.[web:28][web:46]","North America, Europe, APAC, Latin America","High-utilization AI and hyperscale leasing platform (hundreds of MW in operation and pipeline); marketplace could help allocate incremental AI clusters to specific campuses, price premium high-density space, and signal where to expand next.[web:28][web:43][web:46]",
COPT Defense Properties,CDP,Data center / defense IT REIT,supply,United States,public,yes,"REIT focused on mission-critical, defense, and government IT/data center facilities, often as powered shells or build-to-suit assets leased on long-term contracts to agencies and defense integrators.[web:28][web:30]","US Mid-Atlantic and government-focused campuses (e.g., Northern Virginia)","Specialized landlord of secure, power-hungry IT sites; marketplace could support matching of government/defense tenants needing AI/HPC facilities with secure powered shells and help signal where power and security demand justify new builds.[web:30][web:38][web:43]",
QTS Realty (Blackstone),N/A,Private hyperscale data center platform,supply,United States,private,no,"Private equity–backed hyperscale and colocation developer; builds, owns, and leases massive AI- and cloud-ready campuses across key US markets to hyperscalers and enterprises.[web:28][web:43]","US hyperscale hubs (Northern Virginia, Atlanta, Dallas, etc.)","One of the largest private hyperscale developers; marketplace could be used to pre-lease future phases, discover pricing for large blocks of AI-capable power, and prioritize metros based on transparent demand bids.[web:28][web:43]",
PowerHouse Data Centers,N/A,Private developer,supply,United States,private,no,"Division of American Real Estate Partners that acquires land and power in Northern Virginia and similar markets, develops hyperscale-capable shells/campuses, and signs long-term leases with hyperscale tenants.[web:36][web:37]",US hyperscale hubs (especially Northern Virginia),"Specialist in NoVA hyperscale campuses where grid and interconnection are major constraints; marketplace could help price scarce MW, sell forward capacity tranches, and signal when to unlock additional phases.[web:36][web:38][web:43]",
H5 Data Centers,N/A,Owner-operated / independent data center,supply,United States,private,no,"Owner-operator of carrier hotels and regional data centers offering colocation and build-to-suit facilities; retains ownership while tenants lease racks, suites, or whole buildings.[web:35]","US regional metros (e.g., Denver, Cleveland, Ashburn, others)","Mid-sized supply-side platform with presence in both tier-1 and secondary markets; marketplace could expose under-the-radar, lower-cost AI-capable capacity to AI labs and enterprises seeking alternatives to the largest REITs.[web:35][web:38]",
Aligned Data Centers,N/A,Private hyperscale data center platform,supply,United States,private,no,"Sustainability-focused hyperscale developer building and owning high-density, water-efficient data centers, then leasing multi-MW capacity to hyperscalers and enterprises.[web:43]",US and selected global hyperscale markets,Key AI-ready developer emphasizing high-density and sustainable power; marketplace could help price and allocate differentiated “green” AI capacity and attract tenants with ESG constraints.[web:43],
Applied Digital,APLD,AI/HPC data center developer/operator,supply,United States,public,no,"Designs, builds, and owns high-performance AI/HPC data centers and “AI factories,” then leases large blocks of IT load to hyperscalers and AI customers under long-term agreements (hundreds of MW).[web:42][web:45][web:48]","US sites in power-abundant regions (e.g., Midwest, Plains)",Highly AI-focused supplier executing 200–250 MW+ AI leases with expansion to 430 MW and beyond on individual campuses; marketplace could enable forward-selling of AI campuses and match specialized AI tenants to low-cost regions.[web:42][web:45][web:48],
Switch (DigitalBridge),N/A,Private data center platform,supply,United States,private,no,"U.S.-founded data center company (taken private) that builds and operates large, high-security campuses and leases colocation and wholesale space to enterprises and clouds.[web:40][web:43]","US campuses (e.g., Las Vegas, Reno, Grand Rapids, Atlanta)","Large-scale, design-intensive operator; marketplace could highlight low-latency and sustainability features of campuses and aggregate AI demand beyond existing direct channels.[web:40][web:43]",
